CITY NAME,ZIP,ADDRESSE ,OWNER,CARE OF,MAIL ADDRESSE,MAIL CITY,MAIL STATE,MAIL ZIP
DAYTONA BEACH,32124,113 OPAL HILL CIR,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,113 CARNIVAL DR,IH3 PROPERTY FLORIDA LP,C/O ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32114,900 KATHY ST,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32117,813 LEWIS DR,BISMUTH BRIDGE PROPCO LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32117,212 DAHOON HOLLY DR,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32118,274 WILLIAMS AVE,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32117,1190 MANETTE CIR,BISMUTH PROPCO SERIES LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32119,116 WATER TURKEY CT,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32117,270 DAHOON HOLLY DR,2013-1 IH BORROWER LP,% INVITATION HOMES,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32114,347 ALEATHA DR,IH2 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32119,1329 N SHANGRI LA DR,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,104 WEDGE CIR,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32114,534 LIVE OAK AVE,BISMUTH PROPCO SERIES LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32114,216 GRAHAM ST,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32117,109 HEATHROW DR,IH3 PROPERTY FLORIDA LP,% ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32117,1420 ALABAMA AVE,BISMUTH PROPCO SERIES LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32114,1397 SUNLAND RD,SRP SUB LLC,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,138 PERFECT DR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,112 LOGENBERRY CT,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32119,31 CORMORANT CIR,2018-3 IH BORROWER LP,,POX BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,128 OPAL HILL CIR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32119,104 PINE CONE CT,SRP SUB LLC,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32117,100 BLUESTEM CIR,IH3 PROPERTY FLORIDA LP,C/O ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,198 PERFECT DR,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,257 PERFECT DR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,245 PERFECT DR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,133 HAGGE DR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,188 BOYSENBERRY LN,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DAYTONA BEACH,32124,108 OPAL HILL CIR,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,340 SPRUCE PINE DR,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,613 DARTFORD CT,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,388 OAK SPRINGS CT,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,58 SPRING GLEN DR,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,320 FERNHILL DR,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,23 PARKVIEW HEIGHTS BLVD,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,15 HOLLOW PINE DR,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,304 BOWLING GREEN CT,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,248 ROSITA DR,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,652 NEWHALL LN,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,17 SPRING GLEN DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,629 QUAIL LAKE DR,SRP SUB LLC,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,201 DALEWOOD CT,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,127 NEEDLEWOOD LOOP,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,86 WENTWOOD DR,IH4 PROPERTY FLORIDA LP,% ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,138 SPRING GLEN DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,315 SABAL SPRINGS CT,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,48 SPRING GLEN DR,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,271 LAZIO CIR,SFR JV-2 2023-1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,125 FERN SPRINGS ST,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,231 DEBARY DR,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,303 PINE SPRINGS DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,31 ALICANTE RD,SRP SUB LLC,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,345 OAK SPRINGS DR,IH3 PROPERTY FLORIDA LP,% ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,120 NEEDLEWOOD LOOP,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,373 MAGNOLIA SPRINGS CT,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,412 SOTHEBY WAY,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,251 TOMS RD,IH4 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,395 OAK SPRINGS CT,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,2 JUNIPER LN,2018-4 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,126 CEDAR SPRINGS CIR,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,35 PARKVIEW HEIGHTS BLVD,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,383 PINE SPRINGS DR,IH6 PROPERTY FLORIDA LP,% INVITATION HOMES LP,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,117 FERN SPRINGS ST,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,432 N PINE MEADOW DR,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,27 PARKVIEW HEIGHTS BLVD,IH4 PROPERTY FLORIDA LP,% ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,305 OAK SPRINGS DR,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,210 BUNKER CT,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,33 VALLEYWOOD DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,560 ELMCREST PL,THR FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,493 QUAIL HILL DR,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,115 BRASSINGTON DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,70 DOGWOOD TR,SFR JV-2 2022-1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,402 SYCAMORE SPRINGS ST,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,506 WOODFORD DR,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,484 SOTHEBY WAY,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,87 SPRING GLEN DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,405 GLEN ABBEY LN,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,343 SABAL SPRINGS CT,SRP SUB LLC,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,136 ELDORADO DR,SWAY 2014-1 BORROWER LLC,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,97 SPRING GLEN DR,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,22 SPRING RIDGE DR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
